"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"8857900","Plaza Pedregal del Sur","Licensed Store","Mexico","Leon","Guanajuato","37297","Boulevard Delta, Len","[21.11071,-101.60770]","",""
"8858100","Periferico Sur Merida","Licensed Store","Mexico","Uman","Yucatan","97392","Perifrico Licenciado Manuel Berzunza, Merida","[20.93421,-89.69474]","",""
"8897300","Atana Lindavista","Licensed Store","Mexico","Mexico City","Mexico City","07708","Avenida Miguel Bernard, Gustavo A. Madero","[19.51761,-99.14292]","",""
"8897200","Parque Jardin","Licensed Store","Mexico","Mexico City","Mexico City","02960","Avenida Jardn 330, Azcapotzalco","[19.46878,-99.15974]","",""
"1019486","Leon Altacia","Licensed Store","Mexico","Leon","Guanajuato","37545","Blvd Apto No104 Loc, Leon","[21.09254,-101.62596]","",""
"1009279","One Silao","Licensed Store","Mexico","Silao","Guanajuato","36288","Carretera Leon Silao Km, Siloa","[20.96531,-101.45631]","",""
"1018701","Centro TK","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","52780","Av Del Los Bosques, Mexico","[19.41447,-99.24430]","",""
"1020420","Gustavo Baz 29","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","54080","Sin Direccion, Mexico","[19.50910,-99.21982]","",""
"1021898","Malecon Mazatlan","Licensed Store","Mexico","Mazatlan","Sinaloa","82030","Av. Del Mar #4 Ferrocarrilera, Mazatlan","[23.21376,-106.42102]","",""
"1033835","Chedraui Centro Sur","Licensed Store","Mexico","Santiago de Querétaro","Querétaro","76090","Blvd. Bernardo Quintana Arrioja, Quertaro","[20.57039,-100.35969]","",""
"8540300","Apto Reynosa AMB","Licensed Store","Mexico","Reynosa","Tamaulipas","88509","Calle al Aeropuerto, Aeropuerto","[26.01232,-98.22667]","",""
"90239","Santa Monica -","Licensed Store","Mexico","Tlalnepantla de Baz","State of Mexico","54050","Av Juarez No15 Esq, Mexico City","[19.52811,-99.22816]","",""
"1032416","Galerias Monterrey II","Licensed Store","Mexico","Monterrey","Nuevo Leon","64620","Avenida Doctor Jos Eleuterio Gonzlez, Monterrey","[25.68199,-100.35303]","",""
"5065","Lomas Verdes","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","53117","Av Lomas Verdes No, Naucalpan","[19.50656,-99.25921]","",""
"5070","Insurgentes Sur Parroquia","Licensed Store","Mexico","Mexico City","Mexico City","03230","Av Insurgentes Sur No, Mexico City","[19.37053,-99.18015]","",""
"5074","San Jeronimo","Licensed Store","Mexico","Mexico City","Mexico City","10200","Blvd Adolfo Lopez Mateos, Mexico City","[19.32860,-99.21260]","",""
"5077","Galerias Metepec","Licensed Store","Mexico","Metepec","State of Mexico","52169","Galerias Metepec Loc 190, Metepec","[19.25771,-99.62101]","",""
"5086","WTC","Licensed Store","Mexico","Mexico City","Mexico City","03800","Av Insurgentes Sur No, Mexico City","[19.39248,-99.17303]","",""
"5087","Plaza Altabrisa","Licensed Store","Mexico","Merida","Yucatan","97130","Plaza Comercial Altabrisa Calle, Merida","[21.01791,-89.58404]","",""
"5090","Plaza Mayor Metepec","Licensed Store","Mexico","Metepec","State of Mexico","52150","Leona Vicario No 386, Metepec","[19.26103,-99.61692]","",""
"5091","Interlomas","Licensed Store","Mexico","Huixquilucan","State of Mexico","52785","Blvd Magnocentro L-1 Mz, Huixquilucan","[19.40699,-99.27239]","",""
"5093","Zona Esmeralda","Licensed Store","Mexico","Ciudad López Mateos","State of Mexico","52930","Via Jorge Jimenez Cantu, Atizapan de Zaragoza","[19.55919,-99.29715]","",""
"5095","Pilares","Licensed Store","Mexico","Mexico City","Mexico City","03100","Pilares No 541 Bis, Mexico City","[19.37680,-99.16212]","",""
"5096","Monte Everest","Licensed Store","Mexico","Mexico City","Mexico City","11000","Monte Everest No 625, Mexico City","[19.41940,-99.21535]","",""
"5066","Satelite","Licensed Store","Mexico","Naucalpan de Juárez","State of Mexico","53100","Circ Medicos Esq Fernando, Naucalpan","[19.51029,-99.23320]","",""
"5067","Centro Comercial Santa Fe","Licensed Store","Mexico","Mexico City","Mexico City","05348","Av Vasco De Quiroga, Mexico City","[19.36182,-99.27207]","",""
"5069","Insurgentes Juan Pablo","Licensed Store","Mexico","Mexico City","Mexico City","01020","Av Insurgentes Sur No, Mexico City","[19.35930,-99.18386]","",""
"5071","Masaryk Pasaje Polanco","Licensed Store","Mexico","Mexico City","Mexico City","11560","Presidente Masaryk No 360, Mexico City","[19.43172,-99.19679]","",""
"5073","Torre Mayor","Licensed Store","Mexico","Mexico City","Mexico City","06500","Av Paseo De La, Mexico City","[19.42411,-99.17516]","",""
"5076","Midtown Jalisco","Licensed Store","Mexico","Guadalajara","Jalisco","44648","Av Providencia No 2951, Guadalajara","[20.69445,-103.37580]","",""
"5078","Aeropuerto Guadalajara C30","Licensed Store","Mexico","Zapote del Valle","Jalisco","45672","Apto Int De Guadalajara, Guadalajara","[20.52481,-103.30120]","",""
"5079","Patria Acueducto Guadalajara","Licensed Store","Mexico","Zapopan","Jalisco","45116","Av Patria No 2051-4, Zapopan","[20.70979,-103.41086]","",""
"5080","Juarez Puebla","Licensed Store","Mexico","Puebla","Puebla","72400","Av Juarez No 2511, Puebla","[19.05195,-98.21930]","",""
"5081","Galerias Cuernavaca","Licensed Store","Mexico","Cuernavaca","Morelos","62370","Carr Mexico-Acapulco Sn Esq, Cuernavaca","[18.93615,-99.19261]","",""
"5082","Aeropuerto llegadas Internacio","Licensed Store","Mexico","Zapote del Valle","Jalisco","45672","Apto Int De Guadalajara, Guadalajara","[20.52615,-103.30257]","",""
"5083","Superama Santa Fe","Licensed Store","Mexico","Mexico City","Mexico City","05348","Av Tamaulipas No 3000, Mexico City","[19.35630,-99.27625]","",""
"5084","T1 Aeropuerto Dufry","Licensed Store","Mexico","Mexico City","Mexico City","15620","Aicm Internacional Salidas 1Er, Mexico City","[19.43681,-99.07986]","",""
"5085","Minerva Guadalajara","Licensed Store","Mexico","Guadalajara","Jalisco","44110","Blvd Lopez Mateos No, Guadalajara","[20.67370,-103.38823]","",""
"5088","Punta Norte","Licensed Store","Mexico","Cuautitlán Izcalli","State of Mexico","54769","Sierra Vieja No 2, Mexico City","[19.60114,-99.19992]","",""
"5089","Americas Guadalajara","Licensed Store","Mexico","Guadalajara","Jalisco","44200","Av Americas No 346, Guadalajara","[20.68318,-103.37338]","",""
"5094","Cuernavaca Vistahermosa","Licensed Store","Mexico","Cuernavaca","Morelos","62290","Av Rio Mayo Av, Cuernavaca","[18.93349,-99.22175]","",""
