"Store ID","Store Name","Ownership Type","Country","City","Region","ZIP Code","Address","Coordinates","Phone Number","Opening Hours"
"1054428","Delhi Mumbai Expressway 63 LHS","Joint Venture","India","Rawa","Haryana","122104","Delhi to Jaipur, Ferozepur Jhirka","[27.79135,77.00983]","",""
"1054393","Kalawad Road, Rajkot","Joint Venture","India","Rajkot","Gujarat","360001","Kalavad Road, Rajkot","[22.29129,70.78052]","",""
"1054975","Pimple Saudagar Pune","Joint Venture","India","Pune","Maharashtra","411027","IDFC FIRST Bank-Pimple Saudagar, Pune","[18.59616,73.79766]","",""
"1054999","Crystal Haridwar","Joint Venture","India","Badheri Rajputan","Uttarakhand","249405","Highway, Roorkee Sub-District","[29.89971,77.98487]","",""
"1056161","Kiratpur, Manali-Chandigarh Hi","Joint Venture","India","Bara Pind","Punjab","140114","Chandigarh Una Road, Rupnagar Sub-District","[31.11023,76.59670]","",""
"8502400","WEH  Metro Station","Joint Venture","India","Mumbai","Maharashtra","400093","A K Road, Mumbai","[19.11595,72.85641]","",""
"8505000","DLF Cyber Green","Joint Venture","India","Gurugram","Haryana","122002","DLF Cyber Green Tower D, Gurugram","[28.49336,77.09228]","",""
"8505200","Mall of Dehradun","Joint Venture","India","Dehradun","Uttarakhand","248005","Haridwar Road, Dehradun","[30.26683,78.08193]","",""
"8507700","WP arena, Prayagraj","Joint Venture","India","Prayagraj","Uttar Pradesh","211001","R1/1078 Lal Bahadur Shastri Marg, Prayagraj","[25.45280,81.83425]","",""
"8605500","Metro Junction Mall","Joint Venture","India","Kalyan","Maharashtra","421306","H and A, Gopal Krishna Nagar","[19.22881,73.12308]","",""
"8620200","Shirdi","Joint Venture","India","Shirdi","Maharashtra","423109","Shirdi Bypass, Shirdi","[19.77024,74.47417]","",""
"8615500","Vyapar Vihar , Bilaspur","Joint Venture","India","Vinoba Nagar","Chhattisgarh","495004","Punjab National Bank, Vinoba Nagar","[22.06594,82.15075]","",""
"8615700","Sarova Thakur Village","Joint Venture","India","Mumbai","Maharashtra","400101","Shyamnarayan Thakur Marg, Mumbai","[19.20580,72.86789]","",""
"8619700","Una Highway","Joint Venture","India","Una","Himachal Pradesh","174306","MARUTI SUZUKI Trinity Auto Fast Engineer, Una","[31.45728,76.30721]","",""
"8623500","Hisar Highway","Joint Venture","India","Depal","Haryana","125033","NH9, Hansi","[29.09915,75.90676]","",""
"8622000","New Pune Airport Domestic Dep","Joint Venture","India","Pune","Maharashtra","411032","New Airport Rd, Pune International Airpo, Haveli","[18.57934,73.91090]","",""
"8675100","Kranti Chowk","Joint Venture","India","Aurangabad","Maharashtra","431005","Kranti Chowk, Konkanwadi","[19.87248,75.32809]","",""
"8676600","Nellore","Joint Venture","India","Nellore","Andhra Pradesh","524003","Sai Manikaya Residency, Ravindra Nagar","[14.43091,79.97729]","",""
"8685500","DLF Taramani","Joint Venture","India","Chennai","Tamil Nadu","600113","Taramani High road, Chennai","[12.98320,80.24872]","",""
"8685100","JP Nagar 2","Joint Venture","India","Bengaluru","Karnataka","560041","Aashraya Pg For Ladies, JP Nagar","[12.91661,77.59248]","",""
"8686200","Khajaguda","Joint Venture","India","Hyderabad","Telangana","500075","Uma Hillcrest Apartment, NA Khaja Guda R, Hyderabad","[17.41864,78.37148]","",""
"8764200","Gateway - Lakeshore Mall","Joint Venture","India","Hyderabad","Telangana","500072","Kukatpally Road, Hyderabad","[17.47711,78.42285]","",""
"8770900","IIT Kanpur","Joint Venture","India","Kanpur","Uttar Pradesh","208016","IIT Kanpur, Academic Block, Kalyanpur Kanpur","[26.51084,80.23486]","",""
"8850300","Rudrapur Highway","Joint Venture","India","Nayagaon","Uttar Pradesh","244923","NH9, Bilaspur","[28.90552,79.29508]","",""
"8853500","Punjabi Bagh","Joint Venture","India","New Delhi","New Delhi","110026","Club road, West Delhi","[28.66656,77.12470]","",""
"8917600","Rajkot Airport","Joint Venture","India","Hirasar","Gujarat","363520","Hirasar, Rajkot","[22.38202,71.03207]","",""
"8948000","PVP SQUARE MALL","Joint Venture","India","Vijayawada","Andhra Pradesh","520010","MG ROAD, Laabi Pet Vijayawada","[16.50274,80.64251]","",""
"1011485","Anna Nagar","Joint Venture","India","Chennai","Tamil Nadu","600040","TBR tower, Y block, 2nd Avenue, Chennai","[13.08507,80.21242]","",""
"8649000","Electronic City DT","Joint Venture","India","Bengaluru","Karnataka","560100","Neeladri Road, Bengaluru South","[12.84067,77.65591]","",""
"1051304","Dwaraka Nagar","Joint Venture","India","Visakhapatnam","Andhra Pradesh","530016","Dwarakanagar Main road, Visakhapatnam","[17.72838,83.30640]","",""
"1031477","Ambala Delhi Highway","Joint Venture","India","Ambala","Haryana","133004","Pharoli Rd, Mohra, Ambala","[30.26074,76.85401]","",""
"1053553","Urmi Estate, Lower Parel","Joint Venture","India","Mumbai","Maharashtra","400013","101 Ganpatrao Marg, Mumbai","[18.99776,72.82879]","",""
"1053557","Mira Road","Joint Venture","India","Mira Bhayandar","Maharashtra","401107","Mira Road, Mira Bhayander, Mumbai","[19.26816,72.87562]","",""
"113937","Powai","Joint Venture","India","Mumbai","Maharashtra","400076","Prudential Bldg Hiranandani Bus Park, Mumbai","[19.11628,72.90968]","",""
"113948","T3 Domestic Departure","Joint Venture","India","New Delhi","New Delhi","110037","Domestic Departure, New Delhi","[28.55771,77.09750]","",""
"113947","T3 International Departure","Joint Venture","India","New Delhi","New Delhi","110037","International Departure, New Delhi","[28.55632,77.10250]","",""
"116388","Vasant Kunj - Ambience Mall","Joint Venture","India","New Delhi","New Delhi","110070","1st Floor, Ambience Mall, New Delhi","[28.54077,77.15508]","",""
"116390","Rcity","Joint Venture","India","Mumbai","Maharashtra","400086","Gound Floor, R City Mall, Mumbai","[19.09974,72.91638]","",""
"116421","Mumbai Domestic Arrival","Joint Venture","India","Mumbai","Maharashtra","400099","Domestic Arrivals, Mumbai","[19.09197,72.85606]","",""
"1005998","Koregaon Park","Joint Venture","India","Pune","Maharashtra","411001","1 Galaxy Gardens, Pune","[18.53934,73.88696]","",""
"1006041","Bandra West - Chapel road","Joint Venture","India","Mumbai","Maharashtra","400050","Reclamation, Chapel Road, Mumbai","[19.05054,72.82713]","",""
"1006430","Aundh","Joint Venture","India","Pune","Maharashtra","411067","Ground floor, Centriole, Pune","[18.55665,73.80877]","",""
"1006862","GK 2","Joint Venture","India","New Delhi","New Delhi","110048","Ground Floor, M-11, New Delhi","[28.53408,77.24283]","",""
"1006891","Girgaon Chowpatty","Joint Venture","India","Mumbai","Maharashtra","400007","Shree Krishna Hindu Merchant Club, Mumbai","[18.95630,72.81192]","+91 91782 40383",""
